id,Area,Year,Average dietary energy supply adequacy (percent) (3-year average),Average value of food production (constant 2004-2006 I$/cap) (3-year average),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",Prevalence of undernourishment (percent) (3-year average),Number of people undernourished (million) (3-year average),Number of severely food insecure people (million) (3-year average),Number of moderately or severely food insecure people (million) (3-year average),Cereal import dependency ratio (percent) (3-year average),Percent of arable land equipped for irrigation (percent) (3-year average),Value of food imports in total merchandise exports (percent) (3-year average),Political stability and absence of violence/terrorism (index),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Percentage of population using safely managed drinking water services (Percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Prevalence of obesity in the adult population (18 years and older),Prevalence of anemia among women of reproductive age (15-49 years),Prevalence of exclusive breastfeeding among infants 0-5 months of age,Minimum dietary energy requirement  (kcal/cap/day),Average dietary energy requirement (kcal/cap/day),Coefficient of variation of habitual caloric consumption distribution (real number),Incidence of caloric losses at retail distribution level (percent),Average fat supply (g/cap/day) (3-year average),Percentage of population using safely managed sanitation services (Percent),Rail lines density (total route in km per 100 square km of land area)
1617,Egypt,2016,144.5,119,3339.5,66,97.15,24.35,10795.8,4.75,4.5,8.25,30.1,46.2,100,44.5,-1.44,5.2,46,,99,96.1,,22,16.8,32,29.2,,1796,2313,0.32,4.43,57.5,63.7,0.5
1308,Egypt,2017,144,119,3326.333333,66,97.15,24.35,11014.5,4.866666667,4.666666667,7.933333333,30.3,46.2,100,45.33333333,-1.42,5.8,47,,99,96.4,,22.1,17,,28.8,,1796,2312,0.32,4.43,57.5,64.6,
931,Egypt,2018,142.6666667,79,3296.666667,66,97,24.7,11366.3,5.133333333,5.033333333,7.466666667,30.16666667,48.2,100,45.5,-1.17,,47,,99,96.7,,22.2,17.3,,28.5,,1798,2313,0.32,4.43,57.7,65.5,
476,Egypt,2019,142,,3283.5,,,,11763.3,5.25,5.2,7.05,29.3,,,47,-1.07,,47,,99,97,,22.3,17.6,,28.3,,1800,2315,0.32,4.43,,66.3,
1724,Egypt,2020,141,,3267,,,,11951.4,5.4,5.4,6.8,27.9,,,,,,,,99,97.3,,22.3,17.8,,,,1802,2317,0.32,4.43,,67.1,
870,Norway,2016,133,129,3393.5,31,112.5,66.85,63104.1,2.5,,0.1,0.3,37.5,10.4,5,1.2,5.4,10,98.9,99,98.1,,,,23.1,11.2,,1953,2548,0.2,2.11,140.35,64,0.7
1798,Norway,2017,132.6666667,129,3387.333333,31,112.5,66.85,64050.8,2.5,,0.1,0.3,37.5,10.4,5,1.17,2.8,11,98.9,99,98.1,,,,,11.4,,1954,2550,0.2,2.11,140.35,64.3,0.7
1274,Norway,2018,132.3333333,85,3376.333333,31,112.7,67,64341.3,2.5,,0.1,0.266666667,42,10.4,5,1.15,,10,98.8,99,98.1,,,,,11.7,,1954,2550,0.2,2.11,140,64.7,0.7
1623,Norway,2019,132,,3372,,,,64452.8,2.5,,0.1,0.25,,,5,1.19,,14,98.7,99,98.1,,,,,12,,1954,2551,0.2,2.11,,65,
223,Norway,2020,132,,3369,,,,63585.9,2.5,,0.1,0.2,,,,,,,98.6,99,98.1,,,,,,,1954,2552,0.2,2.11,,65.4,
1101,United States of America,2016,148,353,3765.5,24,112.35,72.35,59112.2,2.5,,3,30.25,-21.8,17.1,8,0.4,12.9,20,96.6,99,99,0.4,2.9,8.8,36.2,11,34.7,1952,2547,0.17,1.86,166.7,98.3,1.5
427,United States of America,2017,148,353,3771,24,112.35,72.35,60109.7,2.5,,2.9,29.33333333,-21.8,17.1,8,0.34,17.3,18,96.8,99,99,,3,8.8,,11.2,,1952,2548,0.17,1.86,166.7,98.3,1.5
1229,United States of America,2018,148.3333333,238,3780.333333,24,112.7,72.7,61585.8,2.5,,2.766666667,27.66666667,-22.8,17.1,8,0.47,,27,97,99,99,0.1,3.1,8.8,,11.5,,1952,2548,0.17,1.86,167.7,98.3,1.5
1550,United States of America,2019,148.5,,3784,,,,62630.9,2.5,,2.7,27,,,8,0.3,,29,97.1,99,99,,3.1,8.8,,11.8,,1951,2548,0.17,1.86,,98.3,
974,United States of America,2020,149,,3786,,,,60235.7,2.5,,2.7,26.5,,,,,,,97.3,99,99,,3.2,8.8,,,,1951,2548,0.17,1.86,,98.3,
696,Malta,2016,135,81,3413,33.5,114.35,65,40536.7,2.5,,0.1,0.1,85.6,41.3,18,1.08,5.6,13,99,99,99,,,,28.9,12.7,,1937,2529,0.2,2.14,117.15,91.9,
1058,Malta,2017,135.3333333,81,3419.333333,33.5,114.35,65,42644.1,2.5,,0.1,0.1,85.6,41.3,18.33333333,1.25,5.8,16,99,99,99,,,,,13,,1935,2526,0.2,2.14,117.15,91.9,
1958,Malta,2018,136,53,3426,34,115,65.7,43313.5,2.5,,0.1,0.1,86.5,40.2,18.5,1.29,,25,99,99,99,,,,,13.3,,1933,2523,0.2,2.14,118,91.9,
1054,Malta,2019,136.5,,3433,,,,43950.6,2.5,,0.1,0.1,,,19,1.09,,23,99,99,99,,,,,13.7,,1931,2520,0.2,2.14,,91.9,
1231,Malta,2020,137,,3434,,,,39222.1,2.5,,0.1,0.1,,,,,,,99,99,99,,,,,,,1929,2518,0.21,2.14,,91.9,
93,Albania,2016,135.5,238.5,3363.5,36,116,62.2,12291.9,4.2,0.1,0.3,1.1,38.1,57.7,23,0.34,6,134,70.6,93.8,98.1,,13.3,17.3,21.7,23.5,,1912,2492,0.29,2.64,116.15,46.7,
1071,Albania,2017,135.6666667,238.5,3370,36,116,62.2,12771,4.133333333,0.1,0.3,1.1,38.1,57.7,22.66666667,0.38,8.1,134,70.6,94.1,98.5,1.6,12.4,16.4,,24.2,36.5,1911,2490,0.29,2.64,116.15,47.1,
779,Albania,2018,136.3333333,161,3385,36,116.7,62.7,13323.8,4,0.1,0.3,1.066666667,38.4,57.8,21.5,0.38,,110,70.7,94.4,99,,11.4,15.7,,24.5,,1910,2488,0.3,2.64,117,47.4,
1122,Albania,2019,136.5,,3389,,,,13671.5,3.95,0.1,0.3,1.05,,,22,0.12,,36,70.7,94.8,99,,10.4,15.1,,24.8,,1909,2487,0.29,2.64,,47.6,
767,Albania,2020,137,,3395,,,,13295.4,3.9,0.1,0.3,1,,,,,,,70.7,95.1,99,,9.6,14.6,,,,1908,2485,0.29,2.64,,47.7,
434,Argentina,2016,136,522.5,3274,36,105,67.15,23189.5,2.85,1.25,4.35,12.75,-159.05,6,4,0.2,47.5,52,,99,95.4,,7.8,12.6,28.3,11.9,,1860,2411,0.26,3.55,119.2,51.3,0.6
305,Argentina,2017,136,522.5,3277,36,105,67.15,23597.1,3.066666667,1.333333333,4.8,13.8,-159.05,6,4.333333333,0.17,49.7,45,,,,,7.7,12.7,,11.9,,1861,2412,0.27,3.55,119.2,,0.6
1825,Argentina,2018,136,346,3276.666667,36,105,67.3,22759.4,3.5,1.533333333,5.433333333,15.36666667,-165.8,6,5,0.02,,41,,,,,7.7,12.8,,11.8,,1860,2412,0.28,3.55,119.7,,0.6
923,Argentina,2019,136,,3278,,,,22063.9,3.7,1.6,5.7,15.95,,,5,-0.12,,37,,,,1.6,7.7,12.9,,11.9,,1862,2414,0.28,3.55,,,
1233,Argentina,2020,136,,3273,,,,19686.5,3.9,1.7,5.7,16,,,,,,,,,,,7.8,12.9,,,,1863,2416,0.29,3.55,,,
1971,Ethiopia,2016,112,54.5,2463.5,77,65.35,6.15,1894.9,13.9,14.6,15.65,61.8,7.7,5.4,66.5,-1.62,1.9,75,10.5,43.6,7.8,10,39.2,2.4,4.5,22.7,56.5,1725,2205,0.27,2.75,27,5.9,0.1
1697,Ethiopia,2017,111.6666667,54.5,2461.666667,77,65.35,6.15,2021.6,14.06666667,14.96666667,15.56666667,62.3,7.7,5.4,66.66666667,-1.68,3.2,74,11,45.1,8.1,,38.2,2.4,,23,,1728,2210,0.28,2.75,27,6.1,0.1
1443,Ethiopia,2018,111.3333333,35,2458,77,65.7,6,2103.5,14.86666667,16.26666667,16.5,63.23333333,7.5,5.4,68,-1.27,,54,11.5,46.6,8.4,,37.3,2.5,,23.4,,1731,2215,0.27,2.75,27,6.3,0.1
395,Ethiopia,2019,111,,2454.5,,,,2221.4,15.3,16.95,16.9,63.25,,,67,-1.28,,51,12,48.1,8.6,7.2,36.3,2.6,,23.9,58.8,1735,2220,0.27,2.75,,6.5,
140,Ethiopia,2020,111,,2451,,,,2296.8,16.2,18.2,18.4,63.2,,,,,,,12.6,49.6,8.9,,35.3,2.6,,,,1738,2225,0.32,2.75,,6.7,
1349,Seychelles,2016,127,25.5,3030.5,,,,26309.7,,,0.1,0.1,,100,30,0.73,1.8,24,,96.3,99,,7.8,9.3,14,24.1,,1851,2392,0.23,3.01,,,
263,Seychelles,2017,127.3333333,25.5,3039.333333,,,,27242.7,,,0.1,0.1,,100,29,0.79,2.7,26,,96.3,99,,7.8,9.4,,24.4,,1849,2389,0.23,3.01,,,
1851,Seychelles,2018,128,17,3057.333333,,,,27342.2,,,0.1,0.1,,100,28,0.69,,17,,96.3,99,,7.6,9.5,,24.7,,1847,2386,0.23,3.01,,,
1715,Seychelles,2019,128.5,,3070,,,,27521.2,,,0.1,0.1,,,27,0.69,,16,,96.9,99,,7.5,9.7,,25.1,,1845,2384,0.23,3.01,,,
1484,Seychelles,2020,129,,3083,,,,24361.9,,,0.1,0.1,,,,,,,,,99,,7.4,9.8,,,,1845,2384,0.23,3.01,,,
208,Ireland,2016,154,497.5,3794,32,113.85,67.55,72864.5,2.5,,0.1,0.3,41.8,,6,0.85,32.7,23,97,97.4,91.2,,,,25.3,11.4,,1899,2461,0.2,2.06,142.85,81,3.1
1359,Ireland,2017,155,497.5,3821.333333,32,113.85,67.55,78655.6,2.5,,0.133333333,0.3,41.8,,5.666666667,1,35.2,20,97.2,97.4,91.3,,,,,11.6,,1901,2465,0.2,2.06,142.85,82.5,2.7
1406,Ireland,2018,156.6666667,330,3866.333333,32,114.4,68.4,84303.3,2.5,,0.166666667,0.333333333,46.1,,5.5,1.03,,24,97.3,97.4,91.4,,,,,11.8,,1904,2469,0.2,2.06,145.7,82.7,
545,Ireland,2019,157.5,,3888.5,,,,87786.2,2.5,,0.2,0.35,,,5,0.97,,20,97.3,97.4,91.3,,,,,12.1,,1906,2473,0.2,2.06,,82.8,
165,Ireland,2020,158,,3901,,,,89689,2.5,,0.2,0.4,,,,,,,97.3,97.4,91.3,,,,,,,1909,2478,0.21,2.06,,82.9,
1434,Libya,2016,,87.5,,,,,10592.4,,,0.85,2.1,,23.3,19.5,-2.28,3.1,,,98.2,92.1,,36.4,25.9,32.5,29.2,,1841,2375,0.25,3.01,,21.6,
1980,Libya,2017,,87.5,,,,,13238,,,0.933333333,2.2,,23.3,17.33333333,-2.36,2.9,,,99,92.1,,38.3,25.9,,29.4,,1844,2378,0.26,3.01,,21.6,
187,Libya,2018,,58,,,,,15018,,,1.1,2.366666667,,23.3,15,-2.43,,,,99,92.1,,40.1,25.9,,29.6,,1847,2382,0.26,3.01,,21.6,
1966,Libya,2019,,,,,,,,,,1.2,2.45,,,13,-2.57,,,,99,92.1,,41.5,25.8,,29.9,,1850,2386,0.27,3.01,,21.6,
1341,Libya,2020,,,,,,,,,,1.3,2.5,,,,,,,,99,92.1,,43.5,25.4,,,,1853,2390,0.3,3.01,,21.6,
472,Luxembourg,2016,135,169.5,3466,29,109.95,68.5,113036,2.5,,0.1,0.1,12.55,,12.5,1.42,18.1,18,99,99,97.6,,,,22.6,9.5,,1972,2574,0.2,2.23,140.7,96.3,10.6
1677,Luxembourg,2017,135,169.5,3468.333333,29,109.95,68.5,112308,2.5,,0.1,0.1,12.55,,13,1.33,18.1,16,99,99,97.6,,,,,9.7,,1973,2576,0.2,2.23,140.7,96.7,10.6
1024,Luxembourg,2018,135,112,3472.666667,29,109.3,68,113590,2.5,,0.1,0.1,13,,13.5,1.37,,15,99,99,97.6,,,,,10,,1974,2577,0.2,2.23,141.4,96.7,11.1
1755,Luxembourg,2019,135,,3476,,,,113940,2.5,,0.1,0.1,,,14,1.36,,9,99,99,97.6,,,,,10.2,,1975,2579,0.2,2.23,,96.8,
1939,Luxembourg,2020,135,,3479,,,,110261,2.5,,0.1,0.1,,,,,,,99,99,97.6,,,,,,,1975,2579,0.2,2.23,,96.8,
116,Botswana,2016,102,85,2360,48.5,66.3,28.15,17117.3,28.3,0.6,0.45,1.05,85.7,1,9,0.99,19.4,46,,89.4,76,,23.5,10.8,18.9,31.8,,1798,2312,0.33,3.09,66.1,,0.2
347,Botswana,2017,101.6666667,85,2356.666667,48.5,66.3,28.15,17253.7,28.7,0.633333333,0.466666667,1.066666667,85.7,1,9.666666667,1.02,16.5,36,,90.3,77.3,,23.6,10.9,,32.1,30,1801,2316,0.34,3.09,66.1,,
