id,Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Food Insecure Categorical
727,16.2,51.95,1
1691,16.56666667,53.8,1
299,18.13333333,58.3,1
61,18.55,60.3,1
170,19.8,63.1,1
247,12.05,20.6,0
396,11.13333333,19.6,0
1945,9.2,18.3,0
1861,8.1,17.6,0
911,6.9,17.6,0
1296,,,0
499,,,0
1000,,,0
892,,,0
909,,,0
1239,,,0
1147,,,0
1847,,,0
1947,,,0
1816,,,0
411,,,0
246,24,70.1,1
8,25.45,71.8,1
843,25.45,71.8,1
702,26.9,73.5,1
107,,,0
237,,,0
688,,,0
1031,,,0
1395,,,0
1085,3.5,12.25,0
1608,3.6,12.6,0
1068,3.566666667,12.76666667,0
1405,3.55,12.8,0
1129,3.3,12.3,0
1241,1.15,4.8,0
1050,1.133333333,4.4,0
1263,1.033333333,3.666666667,0
1081,1,3.3,0
678,0.9,3,0
1427,0.5,8.15,0
222,0.5,8.633333333,0
1454,0.5,9.033333333,0
540,0.5,9.25,0
1784,0.5,8.9,0
224,,,0
193,,,0
1142,,,0
1237,,,0
1533,,,0
243,,,0
262,,,0
565,,,0
1257,,,0
757,,,0
219,12,31.7,0
662,11.53333333,31.63333333,0
1501,10.9,31.63333333,0
491,10.55,31.7,0
840,10.5,31.9,0
319,,,0
817,,,0
150,,,0
443,,,0
1106,,,0
275,,,0
1222,,,0
245,,,0
534,,,0
458,,,0
549,,,0
38,,,0
432,1.1,3.7,0
1865,1.1,3.7,0
682,1.1,3.7,0
1560,,,0
1335,,,0
1422,,,0
1631,,,0
983,,,0
894,,,0
1811,,,0
998,,,0
1243,,,0
1249,,,0
300,,,0
1294,,,0
1394,,,0
1721,,,0
463,,,0
748,,,0
1398,,,0
1475,,,0
1508,,,0
1539,,,0
55,,,0
234,,,0
607,,,0
56,,,0
131,,,0
511,1.55,9.5,0
121,1.533333333,9.4,0
40,1.6,9.3,0
1354,1.75,9.6,0
440,2,10,0
269,1.75,21.65,0
846,1.7,21.3,0
1469,2.266666667,21.96666667,0
1650,2.55,22.05,0
970,3.5,23.5,0
1226,,,0
1841,,,0
54,,,0
486,,,0
1411,,,0
115,2.25,12.8,0
1049,2.133333333,12.7,0
1868,2.133333333,12.56666667,0
1661,2.15,12.85,0
171,2.4,13.2,0
760,11.3,42.95,0
21,11.73333333,42.9,0
1850,13.23333333,44.53333333,0
715,14,45.35,0
568,15.4,47.9,0
260,,,0
1433,,,0
1305,,,0
497,,,0
930,,,0
532,,,0
1016,8.6,36.4,0
175,8.1,35.75,0
1896,8.1,35.75,0
997,7.6,35.1,0
178,14.15,45.15,0
197,13.96666667,44.8,0
1963,13.66666667,44.6,0
763,13.5,44.45,0
1965,13.4,44.8,0
68,,,0
515,,,0
1393,26.7,55.8,1
771,26.7,55.8,1
655,26.7,55.8,1
1114,0.6,5,0
1173,0.633333333,5.033333333,0
750,0.733333333,5.3,0
64,0.8,5.45,0
1465,0.9,5.8,0
1102,,,0
1648,,,0
1180,61.8,81.3,1
393,61.8,81.3,1
336,61.8,81.3,1
7,,,0
1270,,,0
525,,,0
925,,,0
1761,,,0
1875,3.25,12.95,0
906,3.366666667,13.73333333,0
694,3.766666667,15.63333333,0
569,3.95,16.6,0
0,4.3,17.9,0
1902,,,0
156,,,0
1338,,,0
1609,,,0
594,,,0
1679,,,0
1177,,,0
409,,,0
1348,,,0
1870,,,0
1043,,,0
556,,,0
1519,,,0
1167,,,0
364,,,0
1819,,,0
117,,,0
1476,,,0
1004,,,0
893,,,0
1892,,,0
734,,,0
1716,,,0
1531,,,0
900,,,0
104,,,0
1740,,,0
775,,,0
824,,,0
1696,,,0
1135,,,0
553,,,0
1139,,,0
28,,,0
374,,,0
311,47.9,86.6,1
46,48.96666667,87.13333333,1
1601,50.83333333,88.13333333,1
1920,51.4,88.25,1
289,51.7,88.3,1
1814,,,0
1223,,,0
406,,,0
1124,,,0
1130,,,0
15,2.05,13.3,0
1537,2.166666667,13.7,0
1460,2.4,14.5,0
1178,2.5,14.9,0
1581,2.6,15.3,0
666,,,0
1820,,,0
1268,,,0
137,,,0
492,,,0
966,0.7,7.35,0
1667,0.766666667,8.233333333,0
372,1,9.6,0
937,1.1,10.5,0
1717,1.3,11,0
1212,,,0
307,,,0
714,,,0
710,,,0
1118,,,0
1205,,,0
468,,,0
205,,,0
180,,,0
1396,,,0
583,0.5,4.5,0
1771,0.5,4.266666667,0
1091,0.6,3.966666667,0
1184,0.65,4,0
1449,0.8,4.2,0
1694,,,0
498,,,0
773,,,0
1766,,,0
576,,,0
887,,,0
341,,,0
32,38.5,69.2,1
283,38.5,69.2,1
658,38.5,69.2,1
1641,1.1,5.6,0
1363,1.1,5.466666667,0
654,1.1,5.2,0
522,1.1,5.1,0
480,1.1,5,0
1984,,,0
226,,,0
89,,,0
1529,,,0
697,,,0
1264,,,0
176,,,0
617,,,0
1309,,,0
1720,,,0
44,,,0
738,,,0
1682,,,0
1056,,,0
1262,,,0
1327,7.75,24.75,0
1941,8.466666667,26.23333333,0
823,9.966666667,29.36666667,0
368,10.75,30.95,0
315,11.6,32.7,0
548,13.85,41.6,0
1530,14.1,41.8,0
822,14.13333333,43.63333333,0
1193,14.2,44.65,0
1698,13.8,47.1,0
436,,,0
1899,,,0
1729,,,0
537,,,0
1582,,,0
579,,,0
965,,,0
1670,,,0
977,,,0
18,,,0
143,29.4,62.6,1
398,29.6,62.83333333,1
10,30.06666667,63.33333333,1
1442,30.4,63.7,1
962,30.8,64.1,1
805,,,0
871,2,14.3,0
1211,2,14.3,0
1919,2,14.3,0
785,2,14.3,0
1603,2.2,8.35,0
49,2.133333333,8.133333333,0
1221,2,8,0
1002,1.95,7.85,0
1615,1.9,8,0
1728,1.05,6.3,0
1714,0.933333333,6.2,0
125,0.766666667,6.033333333,0
986,0.7,5.9,0
335,0.7,5.8,0
103,,,0
1792,,,0
1948,,,0
865,,,0
1991,,,0
536,,,0
533,,,0
809,,,0
1328,,,0
412,,,0
403,23.6,52.7,1
489,23.93333333,53.23333333,1
1592,24.63333333,54.33333333,1
1575,25.15,55.15,1
1731,25.7,56,1
578,7.7,34.65,0
79,7.566666667,35.86666667,0
1334,8.1,37.83333333,0
1809,8.4,39,0
214,9.5,39.7,0
502,0.75,3.7,0
1189,0.733333333,3.633333333,0
794,0.7,3.5,0
1642,0.7,3.45,0
625,0.7,3.4,0
108,8,49.7,0
1481,8.1,49.8,0
1137,8.333333333,50,0
1216,8.45,50.1,1
